Topic,Count,Name,Representation,Representative_Docs
9,45,9_building_rights_air_city,"['building', 'rights', 'air', 'city', 'buildings', 'noise', 'insurance', 'real estate', 'estate', 'neighbor']","["". It will be embroiled in a legal quagmire for years. Included in that quagmire is a deal she was about to make involving an old friend of ours, William Hull. The real estate mogul? Yes. That... is Rosalyn's building there. And this is Hull's latest monstrosity. Scheduled for construction at the end of her block. So, Rosalyn was gonna sell Hull her building? Not the building. The air above it"", "". The air above it. Every building in the city comes with a finite amount of air rights, limiting the space that one can build up, hmm? It's to stop the city growing out of control. Overcrowding the streets. Public services. But a developer can buy another building's air rights. So long as that owner promises never to use them. So Hull needed Rosalyn's air rights. Not just hers-- those of every other building on the block. You acquire this one, this one, this one"", "". How? They settled the air rights problem? No. They went around it. Or, more accurately, under it. This is the image which accompanied today's announcement. It's shorter. 23 stories shorter. The original is 63, this one is 40. So they used the air rights they could get to build a shorter building, and they already have completed plans? That seems fast. Wait. These are not plans for the new building. These are plans for the building Busquet's office is in""]"
10,45,10_eddie_guitar_games_digging,"['eddie', 'guitar', 'games', 'digging', 'hole', 'lady', 'video', 'knew', 'company', 'game']","[""... you don't want to try to go it alone. That's the one way the program doesn't work. Watson: Sherlock? Holmes: Study. Marcus and I just met with the owner of the building where Eddie was digging. He had no idea Eddie was back there until the super told him about it this morning. All he wanted to know was who was gonna pay to fix his yard up. I've been perusing the message boards that Eddie, Tyler, and their ilk used to share their appreciation of Nottingham Knights"", "". Holmes: We suspect that your career as a composer of ear-splitting digital music peaked in the early '80s. So perhaps when Eddie found those games, you felt your ship had finally come in. I'm sorry. Is there something funny about all this? Little bit. You want to let us in on the joke? You're way off. I didn't k*ll Eddie, and I didn't take any Nottingham Knights games. No one could've taken them. And why's that? Come on. I'll show you. I understand you're new at this, Mr"", "". I can give you their names. One of them even tweeted some pictures. We'll look into that. In the meantime, maybe you could tell us what you were doing in that hole. I wanted to see if Eddie found the games. Holmes: What games? The... games. I thought you guys already knew. I mean, you found the hole, too. We don't know what Eddie was looking for, so tell us. Nottingham Knights. He was looking for Nottingham Knights. I remember this. It was made by a company called EmeryVision""]"
11,36,11_da_workers_tax_group,"['da', 'workers', 'tax', 'group', 'plant', 'klled', 'union', 'skull', 'police', 'unit']","["". This could be the straw that broke the camel's back. But it's just an article on a union election. It could also be the Rosetta Stone which unlocks the meaning of the file, and gives us Da Silva's true motive. Which was? He sacrificed Pardillo Junior in an effort to wriggle out from under Pardillo Senior's thumb. That doesn't make any sense. Doesn't it? Think it through. The oldest evidence here dates back to Da Silva's first year as a beat cop in Murray Hill"", ""... Is a death sentence-- yes, I suspect so. Oh. BELL: You're not suggesting Da Silva's been ordered to k*ll this Martinez guy? His role will most likely be to cover up the m*rder, as it has been so often in the past. BELL: All right, back up a second. Why have Handsome Bobby k*lled? Having him k*lled was not the point. Having him found dead was. And with due respect to your contribution, Da Silva orchestrated both the death and the discovery"", "". Detective Bell. That's all right. Come in. Frank Da Silva. Have a seat. As in, Deputy Commissioner Da Silva? Captain Gregson was nice enough to lend us his office so that we could speak privately. What do you know about my division, Detective? I got a pretty good idea. You're in charge of an intelligence unit? Surveillance? It's called the Demographics Unit. The-the name's not mine. To me, uh, being so euphemistic-- it's, um, makes it sound like you're doing something wrong. And we're not""]"
12,34,12_bella_computer_virus_program,"['bella', 'computer', 'virus', 'program', 'kitty', 'machine', 'artificial', 'network', 'intelligence', 'button']","["". There was nothing. And aside from that, Edwin and I are the only two people with access to Bella. You are the only other person who's ever operated her. Holmes: With the greatest of respect, and if you and Edwin are the only people with access to Bella, then either you or Edwin installed the virus which k*lled him. You guys have to ask yourselves if I did it. I get it, I really do. I'll answer any questions you want. You can scan the machine for viruses. Whatever you need"", '. Not with Bella. Kitty: I still don\'t understand. So are you going to rip open the computer and look at all the wires? Something called a ""Turing Test"" is routinely issued in AI labs. An examiner sits in front a computer, poses a series of questions until he or she can determine whether the answers have come from a human or from a computer. Until very recently, no machine has ever passed. And now one has? Partially', "". They don't just randomly start flashing images of the pyramids of Giza and God knows what else. Someone infected that computer with a virus that triggered a fatal seizure. Edwin Borstein was m*rder*d. I don't think that's possible. Bella's not hooked up to a network. She couldn't have picked up a virus from the Web or e-mail. Well, someone installed it, then. We scanned her for viruses after the break-in. There was nothing""]"
13,26,13_animals_species_extinct_truck,"['animals', 'species', 'extinct', 'truck', 'david', 'care', 'pregnant', 'birth', 'daughter', 'horse']","["". Bell: Now, for the next 56 weeks, they enjoy first-rate care and accommodation at your facility, then when their due date's finally drawn near, the criminal drives them away in a truck to give birth in secret. Why, though? If you're gonna reintroduce a species, wouldn't you want to be honored for it? Honored. Or paid. Not necessarily in that order. The illegal market for rare and endangered animals is quite robust"", ""... there should be four zebras here. Both of these mares are pregnant, remember? Although, this is Oxytocin. It's mammalian neurohypophysial hormone, which is used to induce labor in equine species. Both of these animals have given birth since their kidnapping. So the thief wanted the babies, but not the mothers? Why? Well... Well, we were right about one thing. Someone from Criterion Equine Services is involved in this crime. David Chang was a vet at Criterion Equine"", "". Species has been extinct since 1883. Joseph: Zebras gave birth to extinct animals? Looks like the guy was out on an errand with the second foal when we searched the place. Showing his new merchandise to a potential buyer, perhaps. I... I don't care if you found one quagga, two quagga... I care that you found any. They're extinct. Actually, it seems that they're now de-extinct. As I'm sure you're aware, scientists have recently pioneered biotechnology capable of resurrecting extinct species""]"
14,19,14_meat_milk_eat_fine youre,"['meat', 'milk', 'eat', 'fine youre', 'talia', 'sells', 'food', 'farm', 'animal', 'oh']","["". You're fine, you're gonna be okay. Thank you. What was that? May I? When people go to the grocery store, they tend to buy their favorite brands, right? It doesn't matter if they're in their own neighborhood or if on the other side of the country. People buy what they know. So you're saying our accomplice likes soy milk? Not just soy milk, this brand of soy milk. I saw her use it. Her? Carrie Traub was drinking coffee when I went to see her at ICE. She had soy creamer at her desk"", '... grow it here in the lab instead of on a cow. You do see how those ideas don\'t go together. Well, muscle is made of cells, right? We harvest those cells humanely from living animals and replicate them here. Holmes: Obviating barbaric industry practices, animal slaughter, and... climate-destroying methane. Well, that is our hope. Big Meat must be quaking in their boots. ""Big Meat""? The cattle industry at large. May I? Mm. It\'s a bit antiseptic. We\'re still perfecting texture', '. We had a plan. We were ready to go through with it. But MCR canceled the contract before we did the job. Why would they do that? An FDA ruling came down, about the food Pereya was developing. The government classified it as ""meat substitute,"" instead of recognizing it as meat. So, Next Century Meat\'s product will be relegated to the tofu aisle, along with veggie burgers, and other fringe foodstuffs. So, Midwest Cattle\'s panic went from five-alarm fire to a minor annoyance']"
15,19,15_solve_solution_million dollars_million,"['solve', 'solution', 'million dollars', 'million', 'dollars', 'soto', 'computer', 'world', 'worth', 'solving']","["". Obviously, not a coincidence. Your friend said that a solution to P versus NP is worth a million dollars, right? It's hard to imagine there's only two people trying to solve it. You think they were k*lled by a competitor. Would make sense, wouldn't it? I mean, someone realizes how far they've come, murders them to keep them from solving it first. Question is, how did they realize how far they'd come? Both men clearly paranoid about having their work uncovered"", "". They offer a million dollars to anyone who can solve just one of the seven hardest problems in the world. And P versus NP is one of the seven. We know that the dead man, Soto, was working with a partner. And you said that Soto's neighbor heard him arguing with another man a few nights ago. Perhaps the partner thought he could complete the problem himself. Take the prize money without having to share it. For what it's worth, your victim would not have been working with just any mathematician"", "". In simplest terms, P versus NP asks if every problem whose solution can be quickly verified by a computer can also be quickly solved by a computer. Sounds innocent enough, right? Only it's not. It is filthy. Some experts have even theorized that it can't be solved. Could it be a motive for m*rder? That depends. You think a million dollars could be a motive for m*rder? I'm sorry. You're saying this is worth a million dollars? No, but it is getting there""]"
16,18,16_asteroid_paper_companies_impact,"['asteroid', 'paper', 'companies', 'impact', 'mining', 'governments', 'projects', 'project', 'ones', 'size']","["". I don't understand. Are you saying we were played? In so many words. The $500 million that would have gone to Piazzi, is it going to be allocated to a different project? No, no, the money doesn't go anywhere, it just doesn't get allocated. But I think you're missing the bigger picture. That paper hurt all asteroid- hunting projects equally. Obviously, there are competing projects that would have loved to cut ahead, but they all rely on the same principles that Cole's paper att*cked"", "". Huber told us. That the effect of Cole's paper was to delay the hunt for asteroids for as much as a decade. I started wondering if that was the point. So you think someone wants us all to be k*lled by a giant rock? My theory is much more out there, so to speak. I'm all ears. What if what was bad for asteroid hunting was good for asteroid mining? Excuse me? There's gold in them there rocks, Watson. Platinum, too. Lots of it. Just as Julius said"", "". Platinum, too. Lots of it. Just as Julius said. Yeah, but nobody's gonna be able to fly a ship to an asteroid until sometime in the 2020s. A crucial element to my theory. Come on. “Michael Hines, CEO Aurum Aeronautics. Barbara Torrissi, CEO Exterral Dynamics.” I thought everyone was hurt equally by Cole's paper. I no longer think that's true. Combined, those four companies are investing billions towards the long-term prospects for asteroid mining""]"
17,15,17_bruce_song_mate_perfect,"['bruce', 'song', 'mate', 'perfect', '10', 'music', 'hello', 'witness', 'model', 'maybe']","['. You can ask her yourself. Lubbock: So, what I\'m planning to do-- in non-tech terms-- is trick Skyler into thinking whoever she hears next is Bruce. That\'ll let you access the files on her relationship with him and continue their conversation, so to speak. When I give you the cue, just say, ""Hello, Skyler"""" Ready? Hello, Skyler. : Hello, Bruce. How are you today? I\'m good. You? I\'m well, thank you. Would you like to fool around? I\'ll take a rain check. Skyler: I\'m sorry', '. Watson: Now, the doll records any music that she hears in her owner\'s presence. So, I noticed a song that she had stored around the time that Bruce was k*lled. This song was so different from his musical tastes that it suggested she had heard it from someone else. Hello, Skyler. Hello. I missed you. I missed you, too. Could you tell us the last song you were listening to, please? ""Ring My Bell"" by Anita Ward. I like that song. Do you want to fool around to it? No, not right now', "". Maybe Bruce broke the rules and didn't tell anyone. Skyler's inspiration might not have been too happy about being made into a s*x doll. Maybe she got even by k*lling him. Woman: That's from our trip to Nantucket. I took Bruce to meet my parents. He's dead? Our condolences. Thanks. But we broke up almost a year ago. Where did you get that? We found it on one of Bruce's social media accounts. He had tagged you in one of the photos""]"
18,15,18_ill let_recent_nick_heist,"['ill let', 'recent', 'nick', 'heist', 'garage', 'miles', 'drove', 'let know', 'gng', 'vintage']","["". Plenty to keep me occupied out here. So, only one vehicle has left recent tire tracks. The tread matches that of Russell Cole's. And, likewise, the only recent footprints are his. So he was here, and he didn't have any visitors. Guess he didn't like mixing business with pleasure. I mean, besides sleeping with the boss' wife. I'm no expert, but this doesn't look financial. More like science. Stuff about masses and radii and reflection coefficients. Watson: You're right"", "". A heist. At their building. You want to steal something from a heavily armed, meth-dealing band of bike-riding Satanists? Interested? I'm practically engorged. When do we start? Elementary 4x12 A View With a Room Original Air Date on February 11, 2016 Lombardi: Taking this place would be a piece of cake for a small army. Mm-hmm. Well, they've spared no expense embracing the clichés, have they? Ubiquitous leather, the bikes modified for maximum noise. And you forgot the"", "". Judging by the fumes, this was removed in the last 48 hours. So whatever bike that's from, it still might be in the shop. Only a handful of mechanics in the city service antique British motorcycles. Bike shops keep notoriously lazy hours. If we post police at each of them, we might get lucky and catch Mr. Farris as he picks up his second ride. I'll let the captain know. Hey, are you okay without me for a while? Uh, I'm supposed to meet with Fiona again""]"
